,CDKQ,CHAW,CHMK,CZBH,D7BT,D7G7,KVR8,KVR9,L522,L55O
"2007 AUG",2.7,207.3,200.1,4.1,104.7,1.8,200,3.7,104.6,1.8
"2007 SEP",2.8,208,200.8,3.9,104.8,1.8,200.5,3.5,104.7,1.7
"2007 OCT",3.1,208.9,201.6,4.2,105.3,2.1,201.4,3.9,105.2,2
"2007 NOV",3.2,209.7,202.4,4.3,105.6,2.1,202.2,3.9,105.4,2
"2007 DEC",3.1,210.9,203.5,4,106.2,2.1,203.2,3.7,106,2
"2008 JAN",3.4,209.8,202.7,4.1,105.5,2.2,202.2,3.6,105.4,2.1
"2008 FEB",3.7,211.4,204.3,4.1,106.3,2.5,203.4,3.6,106.1,2.4
"2008 MAR",3.5,212.1,205.3,3.8,106.7,2.5,204,3.4,106.5,2.4
"2008 APR",4,214,207.2,4.2,107.6,3,205.8,3.8,107.3,2.8
"2008 MAY",4.4,215.1,208.7,4.3,108.3,3.3,206.7,3.9,107.9,3.2
"2008 JUN",4.8,216.8,210.4,4.6,109,3.8,208.2,4.2,108.6,3.6
"2008 JUL",5.3,216.5,210,5,109,4.4,208,4.6,108.6,4.1
"2008 AUG",5.2,217.2,210.6,4.8,109.7,4.7,208.7,4.3,109.2,4.4
"2008 SEP",5.5,218.4,211.8,5,110.3,5.2,209.8,4.6,109.8,4.8
"2008 OCT",4.7,217.7,211.1,4.2,110,4.5,209.2,3.9,109.5,4.2
"2008 NOV",3.9,216,210.2,3,109.9,4.1,207.6,2.7,109.4,3.8
"2008 DEC",2.8,212.9,209.2,0.9,109.5,3.1,204.3,0.5,109.1,2.9
"2009 JAN",2.4,210.1,207.5,0.1,108.7,3,201.7,-0.2,108.4,2.8
"2009 FEB",2.5,211.4,209.5,0,109.6,3.2,202.7,-0.3,109.2,3
"2009 MAR",2.2,211.3,209.9,-0.4,109.8,2.9,202.4,-0.8,109.4,2.7
"2009 APR",1.7,211.5,210.7,-1.2,110.1,2.3,202.5,-1.6,109.6,2.2
"2009 MAY",1.6,212.8,212,-1.1,110.7,2.2,203.8,-1.4,110.1,2.1
"2009 JUN",1,213.4,212.6,-1.6,111,1.8,204.2,-1.9,110.4,1.7
"2009 JUL",1.2,213.4,212.6,-1.4,110.9,1.8,204.2,-1.8,110.4,1.6
"2009 AUG",1.4,214.4,213.6,-1.3,111.4,1.6,205.2,-1.7,110.8,1.5
"2009 SEP",1.3,215.3,214.5,-1.4,111.5,1.1,205.9,-1.9,110.8,1
"2009 OCT",1.9,216,215.1,-0.8,111.7,1.5,206.6,-1.2,111,1.3
"2009 NOV",2.7,216.6,215.8,0.3,112,1.9,207.2,-0.2,111.3,1.7
"2009 DEC",3.8,218,217.2,2.4,112.6,2.9,208.4,2,111.8,2.5
"2010 JAN",4.6,217.9,217.1,3.7,112.4,3.5,208.3,3.3,111.6,3
"2010 FEB",4.2,219.2,218.4,3.7,112.9,3,209.1,3.2,112,2.5
"2010 MAR",4.8,220.7,219.9,4.4,113.5,3.4,210.4,4,112.6,2.9
"2010 APR",5.4,222.8,222,5.3,114.2,3.7,212.2,4.8,113.1,3.2
"2010 MAY",5.1,223.6,222.8,5.1,114.4,3.4,212.9,4.5,113.4,2.9
"2010 JUN",5,224.1,223.3,5,114.6,3.2,213.2,4.4,113.5,2.8
"2010 JUL",4.8,223.6,222.7,4.8,114.3,3.1,212.7,4.2,113.3,2.6
"2010 AUG",4.7,224.5,223.6,4.7,114.9,3.1,213.5,4,113.8,2.7
"2010 SEP",4.6,225.3,224.4,4.6,114.9,3.1,214.1,4,113.8,2.7
"2010 OCT",4.6,225.8,224.9,4.5,115.2,3.2,214.6,3.9,114.1,2.8
"2010 NOV",4.7,226.8,225.9,4.7,115.6,3.3,215.5,4,114.5,2.9
"2010 DEC",4.7,228.4,227.5,4.8,116.8,3.7,216.9,4.1,115.5,3.3
"2011 JAN",5.1,229,228.2,5.1,116.9,4,217.6,4.5,115.6,3.5
"2011 FEB",5.5,231.3,230.5,5.5,117.8,4.4,219.1,4.8,116.4,3.9
"2011 MAR",5.4,232.5,231.7,5.3,118.1,4,220,4.6,116.7,3.6
"2011 APR",5.3,234.4,233.7,5.2,119.3,4.5,221.7,4.5,117.7,4
"2011 MAY",5.3,235.2,234.5,5.2,119.5,4.5,222.4,4.5,117.9,4
"2011 JUN",5,235.2,234.5,5,119.4,4.2,222.3,4.3,117.9,3.8
"2011 JUL",5,234.7,233.9,5,119.4,4.4,221.8,4.3,117.9,4
"2011 AUG",5.3,236.1,235.4,5.2,120.1,4.5,223,4.4,118.5,4.1
"2011 SEP",5.7,237.9,237.3,5.6,120.9,5.2,224.6,4.9,119.2,4.7
"2011 OCT",5.6,238,237.4,5.4,121,5,224.6,4.7,119.3,4.6
"2011 NOV",5.3,238.5,237.9,5.2,121.2,4.8,225.1,4.5,119.5,4.4
"2011 DEC",5,239.4,238.8,4.8,121.7,4.2,225.9,4.1,120,3.9
"2012 JAN",4,238,237.3,3.9,121.1,3.6,224.6,3.2,119.5,3.4
"2012 FEB",3.8,239.9,239.3,3.7,121.8,3.4,225.8,3.1,120.1,3.2
"2012 MAR",3.7,240.8,240.2,3.6,122.2,3.5,226.5,3,120.5,3.3
"2012 APR",3.5,242.5,241.9,3.5,122.9,3,227.9,2.8,121.1,2.9
"2012 MAY",3.1,242.4,241.8,3.1,122.8,2.8,227.8,2.4,121.1,2.6
"2012 JUN",2.8,241.8,241.1,2.8,122.3,2.4,227.1,2.2,120.6,2.4
"2012 JUL",3.2,242.1,241.3,3.2,122.5,2.6,227.4,2.5,120.8,2.5
"2012 AUG",2.9,243,242.3,2.9,123.1,2.5,228.2,2.3,121.3,2.4
"2012 SEP",2.6,244.2,243.5,2.6,123.5,2.2,229.2,2,121.7,2.1
"2012 OCT",3.1,245.6,244.7,3.2,124.2,2.7,230.5,2.6,122.3,2.5
"2012 NOV",2.9,245.6,244.9,3,124.4,2.7,230.5,2.4,122.5,2.5
"2012 DEC",3,246.8,246,3.1,125,2.7,231.5,2.5,123,2.5
"2013 JAN",3.3,245.8,245.1,3.3,124.4,2.7,230.6,2.7,122.5,2.5
"2013 FEB",3.2,247.6,246.9,3.2,125.2,2.8,231.7,2.6,123.2,2.6
"2013 MAR",3.2,248.7,248,3.3,125.6,2.8,232.6,2.7,123.6,2.6
"2013 APR",2.9,249.5,248.8,2.9,125.9,2.4,233.2,2.3,123.8,2.2
"2013 MAY",3.1,250,249.2,3.1,126.1,2.7,233.5,2.5,124,2.5
"2013 JUN",3.3,249.7,249,3.3,125.9,2.9,233.2,2.7,123.8,2.7
"2013 JUL",3.2,249.7,249,3.1,125.8,2.8,233.2,2.6,123.8,2.5
"2013 AUG",3.3,251,250.3,3.3,126.4,2.7,234.2,2.6,124.3,2.5
"2013 SEP",3.2,251.9,251.2,3.2,126.8,2.7,235,2.5,124.7,2.5
"2013 OCT",2.7,251.9,251.2,2.6,126.9,2.2,234.9,1.9,124.8,2
"2013 NOV",2.7,252.1,251.5,2.6,127,2.1,235.1,2,124.8,1.9
"2013 DEC",2.8,253.4,252.8,2.7,127.5,2,236.2,2,125.3,1.9
"2014 JAN",2.8,252.6,251.9,2.8,126.7,1.9,235.4,2.1,124.7,1.8
"2014 FEB",2.7,254.2,253.6,2.7,127.4,1.7,236.3,2,125.2,1.6
"2014 MAR",2.5,254.8,254.3,2.5,127.7,1.6,236.7,1.8,125.5,1.5
"2014 APR",2.6,255.7,255.2,2.5,128.1,1.8,237.4,1.8,125.8,1.6
"2014 MAY",2.5,255.9,255.4,2.4,128,1.5,237.5,1.7,125.8,1.4
"2014 JUN",2.7,256.3,255.8,2.6,128.3,1.9,237.8,2,126,1.8

© Crown Copyright

CDKQ,"RPI All Items Excl Mortgage Interest (RPIX): Percentage change over 12 months"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='-'
CHAW,"RPI All Items Index: Jan 1987=100"
,seasonal_adjustment='NSA'
,base_period='-'
,price='NONE'
,index_period='1987Jan'
CHMK,"RPI All Items Index Excl Mortgage Interest (RPIX): Jan 1987=100"
,seasonal_adjustment='NSA'
,base_period='-'
,price='NONE'
,index_period='1987Jan'
CZBH,"RPI All Items: Percentage change over 12 months: Jan 1987=100"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='-'
D7BT,"CPI All Items Index: Estimated pre-97 2005=100"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='2005'
D7G7,"CPI All Items: Percentage change over 12 months: Estimated pre-97 2005=100"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='2005'
KVR8,"RPIJ All Items Retail Price Index Jevons: Jan 1987 = 100"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='1987'
KVR9,"RPIJ All Items Retail Price Jevons: Percentage change over 12 months"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='-'
L522,"CPIH All Items Index: 2005=100"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='2005'
L55O,"CPIH All Items: Percentage change over 12 months: 2005=100"
,seasonal_adjustment='NSA'
,base_period='-'
,price='CURR'
,index_period='2005'
